Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias;;;;;;
Variável - Área plantada;;;;;;
Nível;Cód.;Brasil e Município;Ano x Produto das lavouras temporárias;;;
;;;2019;;;
;;;Total;;Soja (em grão);
MU;1502905;Curuçá (PA);870;Hectares;-;Hectares
MU;1502939;Dom Eliseu (PA);93360;Hectares;85000;Hectares
MU;1502954;Eldorado do Carajás (PA);2170;Hectares;-;Hectares
MU;1503002;Faro (PA);275;Hectares;-;Hectares
MU;1503044;Floresta do Araguaia (PA);16894;Hectares;3680;Hectares
MU;1503077;Garrafão do Norte (PA);3930;Hectares;-;Hectares
MU;1503093;Goianésia do Pará (PA);163;Hectares;-;Hectares
MU;1503101;Gurupá (PA);539;Hectares;-;Hectares
MU;1503200;Igarapé-Açu (PA);1395;Hectares;-;Hectares
MU;1503309;Igarapé-Miri (PA);2122;Hectares;-;Hectares
MU;1503408;Inhangapi (PA);1528;Hectares;-;Hectares
MU;1503457;Ipixuna do Pará (PA);14044;Hectares;7000;Hectares
MU;1503507;Irituia (PA);1375;Hectares;-;Hectares
MU;1503606;Itaituba (PA);2829;Hectares;-;Hectares
MU;1503705;Itupiranga (PA);6656;Hectares;-;Hectares
MU;1503754;Jacareacanga (PA);2921;Hectares;-;Hectares
MU;1503804;Jacundá (PA);67;Hectares;-;Hectares
MU;1503903;Juruti (PA);12115;Hectares;-;Hectares
MU;1504000;Limoeiro do Ajuru (PA);570;Hectares;-;Hectares
MU;1504059;Mãe do Rio (PA);1510;Hectares;-;Hectares
MU;1504109;Magalhães Barata (PA);1055;Hectares;-;Hectares
MU;1504208;Marabá (PA);13040;Hectares;500;Hectares
MU;1504307;Maracanã (PA);1420;Hectares;-;Hectares
MU;1504406;Marapanim (PA);730;Hectares;-;Hectares
MU;1504422;Marituba (PA);...;Hectares;...;Hectares
MU;1504455;Medicilândia (PA);1283;Hectares;-;Hectares
MU;1504505;Melgaço (PA);429;Hectares;-;Hectares
MU;1504604;Mocajuba (PA);19000;Hectares;-;Hectares
MU;1504703;Moju (PA);7580;Hectares;-;Hectares
MU;1504752;Mojuí dos Campos (PA);31579;Hectares;21500;Hectares
MU;1504802;Monte Alegre (PA);14953;Hectares;-;Hectares
MU;1504901;Muaná (PA);50;Hectares;-;Hectares
MU;1504950;Nova Esperança do Piriá (PA);4873;Hectares;-;Hectares
MU;1504976;Nova Ipixuna (PA);1036;Hectares;-;Hectares
MU;1505007;Nova Timboteua (PA);1360;Hectares;-;Hectares
MU;1505031;Novo Progresso (PA);19539;Hectares;12500;Hectares
MU;1505064;Novo Repartimento (PA);783;Hectares;-;Hectares
MU;1505106;Óbidos (PA);20997;Hectares;-;Hectares
MU;1505205;Oeiras do Pará (PA);4059;Hectares;-;Hectares
MU;1505304;Oriximiná (PA);15349;Hectares;-;Hectares
MU;1505403;Ourém (PA);1210;Hectares;-;Hectares
MU;1505437;Ourilândia do Norte (PA);525;Hectares;-;Hectares
MU;1505486;Pacajá (PA);5205;Hectares;-;Hectares
MU;1505494;Palestina do Pará (PA);695;Hectares;-;Hectares
MU;1505502;Paragominas (PA);187258;Hectares;162000;Hectares
MU;1505536;Parauapebas (PA);7550;Hectares;600;Hectares
MU;1505551;Pau D'Arco (PA);610;Hectares;-;Hectares
MU;1505601;Peixe-Boi (PA);1155;Hectares;-;Hectares
MU;1505635;Piçarra (PA);4772;Hectares;-;Hectares
MU;1505650;Placas (PA);2853;Hectares;700;Hectares
MU;1505700;Ponta de Pedras (PA);30;Hectares;-;Hectares
MU;1505809;Portel (PA);14503;Hectares;-;Hectares
MU;1505908;Porto de Moz (PA);770;Hectares;-;Hectares
MU;1506005;Prainha (PA);4184;Hectares;-;Hectares
MU;1506104;Primavera (PA);501;Hectares;-;Hectares
MU;1506112;Quatipuru (PA);550;Hectares;-;Hectares
MU;1506138;Redenção (PA);10453;Hectares;5461;Hectares
